date,open,high,low,close,volume
2024-09-24,18.377,18.967,17.957,18.807,812298.0
2024-09-25,18.907,19.837,18.907,19.007,906278.0
2024-09-26,18.977,19.307,18.267,19.297,1210646.0
2024-09-27,19.567,20.727,19.357,20.547,1430150.0
2024-09-30,21.307,22.527,20.807,22.277,1687191.0
2024-10-08,24.547,24.547,22.207,24.057,2213032.0
2024-10-09,23.287,23.287,21.757,21.757,1661069.0
2024-10-10,21.787,23.357,21.787,22.587,1429971.0
2024-10-11,22.337,22.437,21.487,21.737,806612.0
2024-10-14,21.757,22.417,21.587,22.287,832404.0
2024-10-15,22.297,22.447,21.607,21.607,774298.0
2024-10-16,21.357,21.447,20.897,21.157,687233.0
2024-10-17,21.217,21.857,21.037,21.057,610325.0
2024-10-18,21.197,22.537,21.067,22.107,1246454.0
2024-10-21,22.507,23.967,22.107,23.287,1618703.0
2024-10-22,23.107,24.187,22.837,24.067,1344369.0
2024-10-23,24.107,24.307,23.447,23.827,1030927.0
2024-10-24,23.807,23.807,22.697,23.207,1035957.0
2024-10-25,23.287,23.387,22.487,22.917,986795.0
2024-10-28,22.917,23.077,22.427,22.867,689657.0
2024-10-29,22.937,23.687,22.827,23.077,1114891.0
2024-10-30,22.907,23.777,22.817,23.347,1107099.0
2024-10-31,23.427,23.617,22.727,23.057,1014919.0
2024-11-01,22.717,23.257,22.347,22.397,877074.0
2024-11-04,22.397,23.007,22.357,22.937,588411.0
2024-11-05,22.937,23.697,22.687,23.557,1040213.0
2024-11-06,23.507,23.747,22.817,23.007,1143605.0
2024-11-07,22.667,22.667,21.967,22.577,1526577.0
2024-11-08,22.657,23.057,22.487,22.617,1107176.0
2024-11-11,22.497,23.987,22.257,23.977,1967782.0
2024-11-12,23.997,26.417,23.517,25.657,3763550.0
2024-11-13,25.137,25.767,24.487,25.587,2572369.0
2024-11-14,25.727,26.697,25.017,25.127,2503310.0
2024-11-15,24.887,27.097,24.817,26.027,3022505.0
2024-11-18,26.107,26.107,23.787,24.187,2261842.0
2024-11-19,23.817,24.307,23.207,24.017,1572434.0
2024-11-20,24.027,25.107,23.637,24.767,1544492.0
2024-11-21,24.357,24.747,24.107,24.417,1115766.0
2024-11-22,24.127,25.487,24.127,24.267,1826244.0
2024-11-25,24.277,24.397,22.607,23.057,1512165.0
2024-11-26,22.787,23.267,22.617,22.667,690885.0
2024-11-27,22.677,24.907,22.627,24.597,1664718.0
